Date,BHP.AX,CBA.AX,WES.AX,CSL.AX,WDS.AX,MQG.AX
2024-07-26,40.912139892578125,128.9463348388672,69.00875854492188,305.59100341796875,25.992143630981445,198.60592651367188
2024-07-29,40.88298797607422,130.65089416503906,69.45635223388672,308.8448486328125,26.185104370117188,201.012451171875
2024-07-30,40.367942810058594,131.66781616210938,69.7093505859375,306.8211364746094,25.924606323242188,200.9154052734375
2024-07-31,41.10649871826172,133.15931701660156,71.6651840209961,307.2477111816406,26.628921508789062,203.5839385986328
2024-08-01,41.2911376953125,131.97775268554688,71.73330688476562,308.1107482910156,27.034143447875977,205.0491943359375
2024-08-02,40.795528411865234,128.2877655029297,69.67042541503906,303.23004150390625,26.513141632080078,200.57577514648438
2024-08-05,39.9500732421875,120.9561996459961,67.29618835449219,298.6965026855469,25.54832649230957,189.9599151611328
2024-08-06,40.09584045410156,123.66799926757812,68.8238754272461,299.88690185546875,24.236177444458008,192.41494750976562
2024-08-07,39.862613677978516,123.32901763916016,69.3104019165039,301.9801025390625,24.506324768066406,193.90933227539062
2024-08-08,39.07546615600586,125.04327392578125,69.51473999023438,303.0316162109375,24.0528621673584,193.7928924560547
2024-08-09,39.707130432128906,125.46942138671875,69.08660125732422,306.06719970703125,24.593158721923828,195.7239227294922
2024-08-12,39.49333572387695,126.41854095458984,70.15695190429688,306.4639892578125,24.52562141418457,198.2760009765625
2024-08-13,39.6002311706543,128.34585571289062,70.88674926757812,292.42694091796875,24.602807998657227,198.14984130859375
2024-08-14,38.502113342285156,129.98263549804688,71.4316635131836,298.369140625,24.593158721923828,199.70245361328125
2024-08-15,38.10368347167969,130.65089416503906,72.77445983886719,298.7163391113281,24.62210464477539,202.27394104003906
2024-08-16,38.88111114501953,133.77915954589844,72.6187744140625,302.90264892578125,25.20099449157715,203.53541564941406
2024-08-19,38.609012603759766,134.86387634277344,72.18090057373047,305.343017578125,25.355363845825195,203.48690795898438
2024-08-20,39.11433792114258,135.20286560058594,72.44361877441406,305.7894287109375,25.34571647644043,203.90415954589844
2024-08-21,39.726566314697266,134.1476593017578,72.7939224243164,306.0274963378906,25.133455276489258,203.89443969726562
2024-08-22,39.78487014770508,134.57171630859375,73.18314361572266,305.640625,25.056270599365234,203.38986206054688
2024-08-23,39.52248764038086,134.90701293945312,74.10755157470703,307.0492858886719,24.930845260620117,204.9812774658203
2024-08-26,39.68769073486328,136.88919067382812,74.91516876220703,306.8409729003906,25.451845169067383,207.0287628173828
2024-08-27,40.18330001831055,135.52828979492188,74.63298797607422,305.4620666503906,26.45525360107422,205.97105407714844
2024-08-28,39.609947204589844,136.65252685546875,75.11951446533203,305.4422302246094,26.136865615844727,206.84439086914062
2024-08-29,39.386436462402344,136.87933349609375,72.06413269042969,305.47198486328125,25.70269775390625,208.27084350585938
2024-08-30,39.619667053222656,137.5696563720703,70.64348602294922,304.7081298828125,26.233346939086914,209.26060485839844
2024-09-02,39.19208526611328,139.80824279785156,70.46833038330078,303.2994689941406,26.5999755859375,210.6094207763672
2024-09-03,38.51183319091797,141.39596557617188,70.5078353881836,303.587158203125,26.561384201049805,213.29734802246094
2024-09-04,37.549766540527344,138.00357055664062,69.2634048461914,301.56341552734375,25.88601303100586,210.68704223632812
2024-09-05,37.81214904785156,139.39405822753906,68.35477447509766,300.6805419921875,24.120399475097656,213.4429168701172
2024-09-06,37.36512756347656,141.48471069335938,69.14488983154297,301.56341552734375,23.174880981445312,218.49855041503906
2024-09-09,37.666378021240234,140.97190856933594,68.61156463623047,298.01202392578125,22.952972412109375,217.0915069580078
2024-09-10,37.5692024230957,141.7805633544922,68.20662689208984,299.1032409667969,23.14593505859375,220.6236572265625
2024-09-11,38.23001480102539,139.09820556640625,68.7300796508789,297.476318359375,22.63458251953125,217.3826141357422
2024-09-12,38.810001373291016,140.98178100585938,69.51031494140625,299.2520446777344,23.078397750854492,220.08026123046875
2024-09-13,39.599998474121094,139.6898956298828,69.23377990722656,297.86322021484375,23.396787643432617,220.4198760986328
2024-09-16,39.54999923706055,141.01136779785156,69.70784759521484,294.32171630859375,23.252065658569336,221.63284301757812
2024-09-17,39.54999923706055,141.06065368652344,69.72760009765625,293.63720703125,23.281007766723633,221.34173583984375
2024-09-18,39.189998626708984,141.3367919921875,69.73748016357422,293.0419921875,23.47397232055664,222.66143798828125
2024-09-19,40.189998626708984,142.02711486816406,69.28316497802734,292.1293640136719,23.734474182128906,224.7865447998047
2024-09-20,40.34000015258789,142.50045776367188,70.3399429321289,291.29608154296875,23.89849281311035,224.32077026367188
2024-09-23,39.810001373291016,140.41966247558594,69.1547622680664,287.72479248046875,24.120399475097656,224.21401977539062
2024-09-24,41.119998931884766,136.14956665039062,68.70044708251953,285.3638000488281,24.35195541381836,226.31973266601562
2024-09-25,42.70000076293945,133.0234375,69.07575988769531,284.4213562011719,24.487028121948242,221.3611297607422
2024-09-26,43.36000061035156,132.4909210205078,70.11277770996094,288.8358459472656,23.830955505371094,225.32025146484375
2024-09-27,44.7400016784668,132.3035430908203,69.80661010742188,282.82421875,23.502918243408203,226.57205200195312
2024-09-30,45.959999084472656,133.5165252685547,69.55970001220703,283.99481201171875,24.313364028930664,225.48521423339844
2024-10-01,44.63999938964844,131.49488830566406,69.71772003173828,285.9093933105469,24.245824813842773,221.58433532714844
2024-10-02,45.060001373291016,132.3331298828125,68.12762451171875,284.7288818359375,24.998382568359375,219.45921325683594
2024-10-03,45.369998931884766,132.747314453125,68.177001953125,286.3061828613281,25.143104553222656,219.83766174316406
2024-10-04,44.58000183105469,130.9031982421875,67.84120178222656,286.6236572265625,25.70269775390625,218.2462615966797
2024-10-07,44.86000061035156,132.9051055908203,68.00910186767578,286.4847717285156,25.741291046142578,221.95306396484375
2024-10-08,43.790000915527344,133.1023406982422,68.09798431396484,290.18499755859375,25.413253784179688,222.77789306640625
2024-10-09,43.279998779296875,133.75320434570312,68.6905746459961,292.64520263671875,24.660696029663086,223.3018798828125
2024-10-10,43.900001525878906,134.30545043945312,69.00662231445312,291.7821350097656,24.834362030029297,225.13587951660156
2024-10-11,43.43000030517578,133.7630615234375,68.8189697265625,293.4189758300781,24.959789276123047,225.349365234375
2024-10-14,43.79999923706055,134.92674255371094,69.28316497802734,296.9208068847656,24.448436737060547,226.96017456054688
2024-10-15,44.0099983215332,137.362548828125,69.70784759521484,298.79571533203125,23.917789459228516,227.7267608642578
2024-10-16,43.540000915527344,137.86550903320312,69.19426727294922,297.20849609375,24.0528621673584,227.35804748535156
2024-10-17,42.9900016784668,140.03504943847656,70.30043029785156,299.3810119628906,24.072158813476562,228.97854614257812
2024-10-18,42.060001373291016,140.87330627441406,69.36217498779297,298.1806335449219,23.763416290283203,229.0367889404297
2024-10-21,42.63999938964844,142.45115661621094,70.32018280029297,300.6111145019531,24.072158813476562,232.11285400390625
